case,size,baseline_ms,stage3b_ms,observed_delta_us,speedup,baseline_bytes,stage3b_bytes,baseline_byte_hops,stage3b_byte_hops,byte_hop_delta,delta_riu_aggregate_us,delta_riu_one_direction_us,baseline_classification,stage3b_classification
adds_then_matmul_x,128,0.090830959379673,0.0919075682759285,-1.0766088962554932,0.9882859603789836,65536,65536,286720,286720,0,0.0,0.0,riu_lx_lx_poor_locality_plausible,riu_lx_lx_poor_locality_plausible
adds_then_matmul_x,512,0.14753825962543488,0.14109350740909576,6.444752216339111,1.0456771706557182,1048576,1048576,1376256,655360,720896,2.164852852852853,4.342746987951807,riu_lx_lx_poor_locality_plausible,riu_lx_lx_poor_locality_plausible
adds_then_matmul_x,1024,0.40009990334510803,0.4051867872476578,-5.086883902549744,0.9874455829690207,4194304,4194304,11141120,1048576,10092544,30.307939939939942,60.7984578313253,riu_lx_lx_poor_locality_plausible,riu_lx_lx_poor_locality_plausible
adds_then_matmul_x,2048,1.752607524394989,1.6990192234516144,53.588300943374634,1.0315407266755394,16777216,16777216,67108864,0,67108864,201.52812012012012,404.270265060241,riu_lx_lx_poor_locality_plausible,hbm_or_graph_input_boundary_plausible
adds_then_matmul_y_long_chain,128,0.09124726057052612,0.09507313370704651,-3.8258731365203857,0.9597586301477214,65536,65536,286720,286720,0,0.0,0.0,riu_lx_lx_poor_locality_plausible,riu_lx_lx_poor_locality_plausible
adds_then_matmul_y_long_chain,512,0.1512998715043068,0.14583952724933624,5.4603442549705505,1.0374407703998876,1048576,1048576,1376256,655360,720896,2.164852852852853,4.342746987951807,riu_lx_lx_poor_locality_plausible,riu_lx_lx_poor_locality_plausible
adds_then_matmul_y_long_chain,1024,0.41631050407886505,0.41630957275629044,0.0009313225746154785,1.0000022370914232,4194304,4194304,11141120,1048576,10092544,30.307939939939942,60.7984578313253,riu_lx_lx_poor_locality_plausible,riu_lx_lx_poor_locality_plausible
adds_then_matmul_y_long_chain,2048,1.7681941390037537,1.7246324568986893,43.56168210506439,1.025258530842797,16777216,16777216,67108864,0,67108864,201.52812012012012,404.270265060241,riu_lx_lx_poor_locality_plausible,hbm_or_graph_input_boundary_plausible
chain_transposed_intermediate,128,0.058700330555438995,0.06061326712369919,-1.9129365682601929,0.9684402993101117,32768,32768,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
chain_transposed_intermediate,512,0.0950302928686142,0.09767059236764908,-2.6402994990348816,0.9729673033097175,524288,524288,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
chain_transposed_intermediate,1024,0.2120640128850937,0.2165175974369049,-4.453584551811218,0.9794308425526058,2097152,2097152,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
chain_transposed_intermediate,2048,0.6899833679199219,0.6912462413311005,-1.2628734111785889,0.9981730484223007,8388608,8388608,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
fanout_intermediate,128,0.08426327258348465,0.0869380310177803,-2.6747584342956543,0.9692337357657822,65536,65536,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
fanout_intermediate,512,0.14465861022472382,0.14037638902664185,4.28222119808197,1.0305052810360384,1048576,1048576,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
fanout_intermediate,1024,0.38856733590364456,0.39132218807935715,-2.7548521757125854,0.9929601431770745,4194304,4194304,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
fanout_intermediate,2048,1.3694120571017265,1.367516815662384,1.8952414393424988,1.001385899915552,16777216,16777216,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
linear_weight_transposed,128,0.056702643632888794,0.055458396673202515,1.2442469596862793,1.0224356821387788,32768,32768,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
linear_weight_transposed,512,0.07777661085128784,0.07710140198469162,0.6752088665962219,1.008757413603585,524288,524288,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
linear_weight_transposed,1024,0.16949791461229324,0.17291028052568436,-3.4123659133911133,0.9802651068344994,2097152,2097152,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
linear_weight_transposed,2048,0.8536539971828461,0.8505731821060181,3.080815076828003,1.0036220458646485,8388608,8388608,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
matmul_both_inputs_upstream_conflict,128,0.08335616439580917,0.08438341319561005,-1.0272487998008728,0.9878264132618149,65536,65536,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
matmul_both_inputs_upstream_conflict,512,0.12901145964860916,0.13380497694015503,-4.793517291545868,0.9641753438387438,1048576,1048576,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
matmul_both_inputs_upstream_conflict,1024,0.3530103713274002,0.35353656858205795,-0.5261972546577454,0.9985116185950207,4194304,4194304,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
matmul_both_inputs_upstream_conflict,2048,1.5528611838817596,1.5600575134158134,-7.1963295340538025,0.9953871383124221,16777216,16777216,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
matmul_control,128,0.050473958253860474,0.051179900765419006,-0.7059425115585327,0.9862066455581031,0,0,0,0,0,0.0,0.0,control_no_restickify,control_no_restickify
matmul_control,512,0.06919726729393005,0.06633438169956207,2.862885594367981,1.0431583972145004,0,0,0,0,0,0.0,0.0,control_no_restickify,control_no_restickify
matmul_control,1024,0.12882985174655914,0.12758281081914902,1.2470409274101257,1.0097743647392894,0,0,0,0,0,0.0,0.0,control_no_restickify,control_no_restickify
matmul_control,2048,0.702868215739727,0.7022181525826454,0.650063157081604,1.0009257282152146,0,0,0,0,0,0.0,0.0,control_no_restickify,control_no_restickify
matmul_lhs_wrong_stick,128,0.05426071584224701,0.054484233260154724,-0.22351741790771484,0.9958975761512427,32768,32768,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
matmul_lhs_wrong_stick,512,0.08237920701503754,0.08173659443855286,0.6426125764846802,1.0078619935280981,524288,524288,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
matmul_lhs_wrong_stick,1024,0.1714862883090973,0.1690797507762909,2.4065375328063965,1.014233150461586,2097152,2097152,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
matmul_lhs_wrong_stick,2048,0.849677249789238,0.8534137159585953,-3.7364661693573,0.9956217411327163,8388608,8388608,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
matmul_rhs_wrong_stick,128,0.05633942782878876,0.05125720053911209,5.082227289676666,1.0991514799135127,32768,32768,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
matmul_rhs_wrong_stick,512,0.07826648652553558,0.07566995918750763,2.596527338027954,1.0343138461538461,524288,524288,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
matmul_rhs_wrong_stick,1024,0.17224717885255814,0.17258990556001663,-0.3427267074584961,0.9980142134828429,2097152,2097152,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
matmul_rhs_wrong_stick,2048,0.8494686335325241,0.8490672335028648,0.40140002965927124,1.0004727541163063,8388608,8388608,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
matmul_then_long_adds,128,0.07949769496917725,0.07648393511772156,3.0137598514556885,1.0394038283571185,32768,32768,0,0,0,0.0,0.0,local_lx_or_unmodeled_boundary_plausible,local_lx_or_unmodeled_boundary_plausible
matmul_then_long_adds,512,0.11827703565359116,0.11536944657564163,2.907589077949524,1.0252024185280562,524288,524288,0,0,0,0.0,0.0,local_lx_or_unmodeled_boundary_plausible,local_lx_or_unmodeled_boundary_plausible
matmul_then_long_adds,1024,0.29708072543144226,0.2965657040476799,0.5150213837623596,1.0017366181481306,2097152,2097152,0,0,0,0.0,0.0,local_lx_or_unmodeled_boundary_plausible,local_lx_or_unmodeled_boundary_plausible
matmul_then_long_adds,2048,1.3238107785582542,1.3236859813332558,0.12479722499847412,1.0000942800836137,8388608,8388608,0,0,0,0.0,0.0,local_lx_or_unmodeled_boundary_plausible,local_lx_or_unmodeled_boundary_plausible
pointwise_control,512,0.06266310811042786,0.061454251408576965,1.2088567018508911,1.0196708392689358,0,0,0,0,0,0.0,0.0,control_no_restickify,control_no_restickify
pointwise_control,1024,0.1048557460308075,0.10281428694725037,2.041459083557129,1.0198557918765172,0,0,0,0,0,0.0,0.0,control_no_restickify,control_no_restickify
pointwise_control,2048,0.26278942823410034,0.2635931596159935,-0.803731381893158,0.9969508640396282,0,0,0,0,0,0.0,0.0,control_no_restickify,control_no_restickify
pointwise_transpose_add,128,0.05394779145717621,0.053320080041885376,0.6277114152908325,1.0117725144973102,32768,32768,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
pointwise_transpose_add,512,0.07358193397521973,0.07416866719722748,-0.5867332220077515,0.9920892036465004,524288,524288,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
pointwise_transpose_add,1024,0.14639925211668015,0.14542415738105774,0.975094735622406,1.0067051771396367,2097152,2097152,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
pointwise_transpose_add,2048,0.41986070573329926,0.4199547693133354,-0.09406358003616333,0.9997760149737317,8388608,8388608,0,0,0,0.0,0.0,hbm_or_graph_input_boundary_plausible,hbm_or_graph_input_boundary_plausible
