phase,op,shape,best_split,best_us,pr2407_split,pr2407_us,pr2407_gap_pct,latest-main_split,latest-main_us,latest-main_gap_pct,tuned_split,tuned_us,tuned_gap_pct,claude-7fb4e55_split,claude-7fb4e55_us,claude-7fb4e55_gap_pct
prefill,QK^T,512x32x512x128,4_1_8_1,731.06,1_4_8_1,734.54,0.5,32_1_1_1,989.49,35.3,1_4_8_1,734.54,0.5,1_4_8_1,734.54,0.5
prefill,attn@V,32x512x128x512,1_16_2_1,197.72,1_32_1_1,327.39,65.6,1_32_1_1,327.39,65.6,1_16_2_1,197.72,0.0,2_8_2_1,203.98,3.2
prefill,Q/O proj,1x512x4096x4096,1_8_4_1,331.07,1_8_4_1,331.07,0.0,1_4_8_1,340.14,2.7,1_4_8_1,340.14,2.7,1_4_8_1,340.14,2.7
prefill,K/V proj,1x512x1024x4096,1_8_4_1,117.55,1_8_4_1,117.55,0.0,1_4_8_1,174.50,48.5,1_8_4_1,117.55,0.0,1_4_8_1,174.50,48.5
prefill,MLP up,1x512x12800x4096,1_4_8_1,1037.61,1_8_4_1,1139.59,9.8,1_4_8_1,1037.61,0.0,1_4_8_1,1037.61,0.0,1_4_8_1,1037.61,0.0
prefill,MLP down,1x512x4096x12800,1_4_8_1,926.95,1_8_4_1,1007.86,8.7,1_4_8_1,926.95,0.0,1_4_8_1,926.95,0.0,1_4_8_1,926.95,0.0
decode,QK^T,64x32x576x128,8_2_1_2,89.93,32_1_1_1,203.05,125.8,32_1_1_1,203.05,125.8,1_4_3_2,104.89,16.6,4_8_1_1,123.52,37.3
decode,attn@V,32x64x128x576,1_4_2_3,55.04,1_32_1_1,94.42,71.6,1_32_1_1,94.42,71.6,1_4_2_3,55.04,0.0,2_8_2_1,60.04,9.1
decode,Q/O proj,1x64x4096x4096,1_4_8_1,231.84,1_4_8_1,231.84,0.0,1_32_1_1,622.82,168.6,1_4_8_1,231.84,0.0,1_4_8_1,231.84,0.0
decode,K/V proj,1x64x1024x4096,1_8_4_1,66.78,1_4_8_1,67.80,1.5,1_32_1_1,142.62,113.6,1_4_8_1,67.80,1.5,1_4_8_1,67.80,1.5
decode,MLP up,1x64x12800x4096,1_4_8_1,673.44,1_4_8_1,673.44,0.0,1_4_8_1,673.44,0.0,1_4_8_1,673.44,0.0,1_4_8_1,673.44,0.0
decode,MLP down,1x64x4096x12800,1_4_4_1,689.20,1_4_8_1,689.43,0.0,1_32_1_1,2043.51,196.5,1_4_8_1,689.43,0.0,1_4_8_1,689.43,0.0
