op,phase,shape,device_best,best_us,main_pick,main_us,main_gap_pct,fix_pick,fix_us,fix_gap_pct
QK^T,prefill,512x32x512x128,4_1_8_1,731.06,32_1_1_1,989.49,35,1_4_8_1,734.54,0
attn@V,prefill,32x512x128x512,1_16_2_1,197.72,1_32_1_1,327.39,66,2_8_2_1,203.98,3
Q/O proj,prefill,1x512x4096x4096,1_8_4_1,331.07,1_4_8_1,340.14,3,1_4_8_1,340.14,3
K/V proj,prefill,1x512x1024x4096,1_8_4_1,117.55,1_4_8_1,174.50,48,1_4_8_1,174.50,48
MLP up,prefill,1x512x12800x4096,1_4_8_1,1037.61,1_4_8_1,1037.61,0,1_4_8_1,1037.61,0
MLP down,prefill,1x512x4096x12800,1_4_8_1,926.95,1_4_8_1,926.95,0,1_4_8_1,926.95,0
QK^T,decode,64x32x576x128,8_2_1_2,89.93,32_1_1_1,203.05,126,1_32_1_1,232.35,158
attn@V,decode,32x64x128x576,1_4_2_3,55.04,1_32_1_1,94.42,72,1_16_2_1,63.18,15
Q/O proj,decode,1x64x4096x4096,1_4_8_1,231.84,1_32_1_1,622.82,169,1_4_8_1,231.84,0
K/V proj,decode,1x64x1024x4096,1_8_4_1,66.78,1_32_1_1,142.62,114,1_4_8_1,67.80,2
MLP up,decode,1x64x12800x4096,1_4_8_1,673.44,1_4_8_1,673.44,0,1_4_8_1,673.44,0
MLP down,decode,1x64x4096x12800,1_4_4_1,689.20,1_32_1_1,2043.51,197,1_4_8_1,689.43,0
