op,shape_BxMxNxK,pick,pick_us,device_best,best_us,gap_pct,n_splits_swept
Qproj_pre,1x512x4096x2880,1_4_8_1,235.1,1_4_8_1,235.1,0,33
Qproj_dec,1x64x4096x2880,1_4_8_1,170.4,1_8_4_1,158.3,8,33
KVproj_pre,1x512x512x2880,1_8_4_1,47.8,1_4_8_1,46.6,2,30
KVproj_dec,1x64x512x2880,1_4_8_1,29.4,1_8_4_1,26.9,9,30
Oproj_pre,1x512x2880x4096,1_8_3_1,547.7,1_2_1_16,398.0,38,33
Oproj_dec,1x64x2880x4096,1_2_15_1,447.9,1_8_1_4,175.9,155,33
MoEup_pre,1x64x2880x2880,1_2_5_3,325.4,1_4_3_1,324.7,0,28
MoEdn_pre,1x64x2880x2880,1_2_5_3,325.9,1_2_1_5,324.3,1,28
QKT_pre,64x512x512x64,1_16_2_1,338.4,1_16_2_1,338.4,0,41
QKT_dec,64x64x576x64,8_4_1_1,108.8,4_8_1_1,97.8,11,23
attnV_pre,64x512x64x512,1_32_1_1,368.0,4_1_1_4,364.5,1,42
attnV_dec,64x64x64x576,32_1_1_1,190.0,1_8_1_1,189.2,0,25
